id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
309,Who is the current Chief Minister of Punjab?,Sri Bhagwant Singh Mann,Sri Bhajan Lal Sharma,Sri Prem Singh Tamang (Golay),Sri M. K. Stalin,A,Sri Bhagwant Singh Mann is the Chief Minister of Punjab.,Civics,IMG_6526.jpg
310,Who is the current Chief Minister of Rajasthan?,Sri Bhajan Lal Sharma,Sri Prem Singh Tamang (Golay),Sri M. K. Stalin,Sri A Revanth Reddy,A,Sri Bhajan Lal Sharma is the Chief Minister of Rajasthan.,Civics,IMG_6526.jpg
311,Who is the current Chief Minister of Sikkim?,Sri Prem Singh Tamang (Golay),Sri M. K. Stalin,Sri A Revanth Reddy,Dr. Manik Saha,A,Sri Prem Singh Tamang (Golay) is the Chief Minister of Sikkim.,Civics,IMG_6526.jpg
312,Who is the current Chief Minister of Tamil Nadu?,Sri M. K. Stalin,Sri A Revanth Reddy,Dr. Manik Saha,Sri Yogi Aditya Nath,A,Sri M. K. Stalin is the Chief Minister of Tamil Nadu.,Civics,IMG_6526.jpg
313,Who is the current Chief Minister of Telangana?,Sri A Revanth Reddy,Dr. Manik Saha,Sri Yogi Aditya Nath,Sri Pushkar Singh Dhami,A,Sri A Revanth Reddy is the Chief Minister of Telangana.,Civics,IMG_6526.jpg
314,Who is the current Chief Minister of Tripura?,Dr. Manik Saha,Sri Yogi Aditya Nath,Sri Pushkar Singh Dhami,Km. Mamata Banerjee,A,Dr. Manik Saha is the Chief Minister of Tripura.,Civics,IMG_6526.jpg
315,Who is the current Chief Minister of Uttar Pradesh?,Sri Yogi Aditya Nath,Sri Pushkar Singh Dhami,Km. Mamata Banerjee,Sri Nara Chandrababu Naidu,A,Sri Yogi Aditya Nath is the Chief Minister of Uttar Pradesh.,Civics,IMG_6526.jpg
316,Who is the current Chief Minister of Uttarakhand?,Sri Pushkar Singh Dhami,Km. Mamata Banerjee,Sri Pema Khandu,Sri Himanta Biswa Sarma,A,Sri Pushkar Singh Dhami is the Chief Minister of Uttarakhand.,Civics,IMG_6526.jpg
317,Who is the current Chief Minister of West Bengal?,Km. Mamata Banerjee,Sri Nitish Kumar,Sri Vishnu Deo Sai,Sri Pramod Sawant,A,Km. Mamata Banerjee is the Chief Minister of West Bengal.,Civics,IMG_6526.jpg
318,What does the proverb 'All that glitters is not gold' mean?,Everything shiny is valuable.,Appearances can be deceptive.,Gold is always the best.,Glitter is more valuable than gold.,B,The proverb means that something that looks attractive might not actually be valuable or good.,English,IMG_6493.jpg
319,Which proverb suggests that it's easier to understand something through visuals?,All that glitters is not gold,A picture is worth a thousand words,Beggars can't be choosers,Actions speak louder than words,B,The proverb 'A picture is worth a thousand words' means that visuals can convey information more effectively than words alone.,English,IMG_6493.jpg
320,What does 'All good things come to an end' mean?,Good things last forever.,Nothing great lasts forever.,Only bad things end.,Good things are always replaced by better things.,B,This proverb means that even the best experiences eventually come to a close.,English,IMG_6493.jpg
321,What does the proverb 'Beggars can't be choosers' mean?,Beggars are always picky.,People who depend on others must accept what is offered.,Beggars should demand more.,It's okay to be greedy if you are poor.,B,This proverb means that people who rely on the generosity of others should be grateful for what they receive and not expect to have many options.,English,IMG_6493.jpg
322,Which proverb emphasizes the importance of taking the first step?,"As you sow, so you shall reap",Actions speak louder than words,A journey of a thousand miles begins with a single step,All good things come to an end,C,"The proverb 'A journey of a thousand miles begins with a single step' means that to achieve a big goal, you must start with a small action.",English,IMG_6493.jpg
323,"What does 'As you sow, so you shall reap' mean?",Planting seeds is always rewarding.,Your actions determine your results.,Harvesting is easy.,Farmers always have good luck.,B,This proverb means that the effort you put in will determine the outcome you get.,English,IMG_6493.jpg
324,Which proverb suggests that actions are more meaningful than words?,All that glitters is not gold,A picture is worth a thousand words,Actions speak louder than words,Beggars can't be choosers,C,The proverb 'Actions speak louder than words' means that what you do is more important than what you say.,English,IMG_6493.jpg
325,Which mountain range forms a border between Argentina and Chile?,Andes,Himalayas,Rocky Mountains,Alps,A,The Andes mountain range runs along the border between Argentina and Chile.,Geography,IMG_6534.jpg
326,What is the largest island located in the Mediterranean Sea?,Crete,Corsica,Sicily,Cyprus,C,Sicily is the largest island in the Mediterranean Sea.,Geography,IMG_6534.jpg
327,Who is the author of the novel 'One Hundred Years of Solitude'?,Mark Rothko,Gabriel García Márquez,Philip Glass,O. Chandu Menon,B,Gabriel García Márquez wrote 'One Hundred Years of Solitude'.,Literature,IMG_6534.jpg
328,Which artist is known for creating the painting 'No. 61 (Rust and Blue)'?,Philip Glass,Gabriel García Márquez,Mark Rothko,O. Chandu Menon,C,Mark Rothko created the painting 'No. 61 (Rust and Blue)'.,Art,IMG_6534.jpg
329,Who composed the opera 'Einstein on the Beach'?,Mark Rothko,Gabriel García Márquez,Philip Glass,O. Chandu Menon,C,Philip Glass composed the opera 'Einstein on the Beach'.,Music,IMG_6534.jpg
330,Which Kerala king defeated the Dutch East India Company in the Battle of Colachel in 1741?,O. Chandu Menon,Marthanda Varma,Sree Narayana Guru,Keralolpathi,B,Marthanda Varma defeated the Dutch East India Company in the Battle of Colachel.,History,IMG_6534.jpg
331,"What was the name of the social reform movement in Kerala during the 19th century, led by Sri Narayana Guru?",Muziris,Keralolpathi,Sree Narayana Dharma Paripalana Yogam,Indulekha,C,The social reform movement was called Sree Narayana Dharma Paripalana Yogam.,History,IMG_6534.jpg
332,Who wrote the Malayalam novel 'Indulekha'?,Marthanda Varma,Sree Narayana Guru,O. Chandu Menon,Gabriel García Márquez,C,O. Chandu Menon wrote the Malayalam novel 'Indulekha'.,Literature,IMG_6534.jpg
333,Which ancient Kerala port city was an important center of trade with the Romans?,Keralolpathi,Muziris,Colachel,Sicily,B,Muziris was an important trade center with the Romans.,History,IMG_6534.jpg
334,What is the name of the ancient Kerala text that describes the history and culture of the region?,Indulekha,Muziris,Colachel,Keralolpathi,D,Keralolpathi is the ancient Kerala text that describes the history and culture of the region.,History,IMG_6534.jpg
335,Salts are formed from the neutralization reaction of:,Acids and bases,Acids and water,Bases and water,Acids and salts,A,Salts are formed from the neutralization reaction of acids and bases.,Science,IMG_6508.jpg
336,Positively charged ions are known as:,Anions,Cations,Neutrons,Protons,B,Positively charged ions are called cations.,Science,IMG_6508.jpg
337,Negatively charged ions are known as:,Cations,Anions,Neutrons,Protons,B,Negatively charged ions are called anions.,Science,IMG_6508.jpg
338,"An indicator is used to determine the nature of an aqueous solution, which can be:",Acidic,Basic,Neutral,All of the above,D,"An indicator is used to determine if a solution is acidic, basic, or neutral.",Science,IMG_6508.jpg
339,Which of the following is a natural indicator?,Phenolphthalein,Methyl orange,Litmus,All of the above,C,"Litmus is a natural indicator, while phenolphthalein and methyl orange are synthetic indicators.",Science,IMG_6508.jpg
340,Indicators that distinguish acids and bases with their odour are called:,Visual indicators,Olfactory indicators,pH indicators,Universal indicators,B,Indicators that use odour to distinguish acids and bases are called olfactory indicators.,Science,IMG_6508.jpg
341,"The smallest, basic unit of life is the:",Organ,Tissue,Cell,Molecule,C,"A cell is the smallest, basic unit of life.",Science,IMG_6508.jpg
342,Which of the following is NOT a main part of a cell?,Cell membrane,Nucleus,Cytoplasm,Mitochondria,D,"A cell has three main parts: the cell membrane, the nucleus, and the cytoplasm.",Science,IMG_6508.jpg
343,Which part of the cell surrounds the cell and controls the substances that go into and out of the cell?,Nucleus,Cytoplasm,Cell membrane,Mitochondria,C,The cell membrane surrounds the cell and controls the substances that go into and out of the cell.,Science,IMG_6508.jpg
344,Which structure inside the cell contains the nucleolus and most of the cell's DNA?,Cell membrane,Cytoplasm,Nucleus,Mitochondria,C,The nucleus is a structure inside the cell that contains the nucleolus and most of the cell's DNA.,Science,IMG_6508.jpg
345,The process by which autotrophic green plants make their own food is called:,Respiration,Photosynthesis,Digestion,Transpiration,B,The process by which autotrophic green plants make their own food is called photosynthesis.,Science,IMG_6508.jpg
346,What inorganic substances do autotrophic green plants use to make their own food during photosynthesis?,Oxygen and water,Carbon dioxide and oxygen,Carbon dioxide and water,Nitrogen and water,C,Autotrophic green plants use carbon dioxide and water to make their own food during photosynthesis.,Science,IMG_6508.jpg
347,What pigment is essential for photosynthesis?,Melanin,Chlorophyll,Carotene,Anthocyanin,B,Chlorophyll is the green pigment essential for photosynthesis.,Science,IMG_6508.jpg
348,When is World Population Day observed?,June 8,July 11,April 22,March 21,B,World Population Day is observed on July 11.,General Knowledge,IMG_6514.jpg
349,On what date is World Oceans Day celebrated?,June 7,June 8,April 22,March 22,B,World Oceans Day is celebrated on June 8.,General Knowledge,IMG_6514.jpg
350,When is International Earth Day?,March 21,March 22,April 22,December 11,C,International Earth Day is on April 22.,General Knowledge,IMG_6514.jpg
351,When is World Water Day?,March 22,April 22,December 5,February 28,A,World Water Day is on March 22.,General Knowledge,IMG_6514.jpg
352,When is International Forest Day?,March 21,April 7,October 16,December 5,A,International Forest Day is on March 21.,General Knowledge,IMG_6514.jpg
353,When is International Mountains Day?,March 21,December 5,December 11,February 28,C,International Mountains Day is on December 11.,General Knowledge,IMG_6514.jpg
354,When is World Soil Day?,December 5,February 28,October 16,April 7,A,World Soil Day is on December 5.,General Knowledge,IMG_6514.jpg
355,When is National Science Day?,October 16,February 28,April 7,March 21,B,National Science Day is on February 28.,General Knowledge,IMG_6514.jpg
356,When is World Food Day?,April 7,March 21,October 16,June 7,C,World Food Day is on October 16.,General Knowledge,IMG_6514.jpg
357,When is World Health Day?,March 21,April 7,June 7,July 11,B,World Health Day is on April 7.,General Knowledge,IMG_6514.jpg
358,When is World Forestry Day?,June 7,July 11,March 21,April 7,C,World Forestry Day is on March 21.,General Knowledge,IMG_6514.jpg
359,What is Biology the study of?,Cells,Life,Heart,Skin,B,Biology is the study of life.,Science,IMG_6514.jpg
360,What is Cardiology the study of?,Cells,Heart,Skin,Insects,B,Cardiology is the study of the heart.,Science,IMG_6514.jpg
361,What is Cytology the study of?,Cells,Trees,Skin,Blood,A,Cytology is the study of cells.,Science,IMG_6514.jpg
362,What is Dendrology the study of?,Skin,Trees,Insects,Weather,B,Dendrology is the study of trees.,Science,IMG_6514.jpg
363,What is Dermatology the study of?,Insects,Skin,Blood,Weather,B,Dermatology is the study of the skin.,Science,IMG_6514.jpg
364,What is Entomology the study of?,Blood,Insects,Weather,Micro-organisms,B,Entomology is the study of insects.,Science,IMG_6514.jpg
365,What is Haematology the study of?,Weather,Blood,Micro-organisms,Clouds,B,Haematology is the study of blood.,Science,IMG_6514.jpg
366,What is Meteorology the study of?,Micro-organisms,Weather,Clouds,Kidneys,B,Meteorology is the study of weather.,Science,IMG_6514.jpg
367,What is Microbiology the study of?,Clouds,Micro-organisms,Kidneys,Nerves,B,Microbiology is the study of micro-organisms.,Science,IMG_6514.jpg
368,What is Nephology the study of?,Kidneys,Clouds,Nerves,Illness,B,Nephology is the study of clouds.,Science,IMG_6514.jpg
369,What is Nephrology the study of?,Nerves,Kidneys,Illness,Animals,B,Nephrology is the study of the kidneys.,Science,IMG_6514.jpg
370,What is Neurology the study of?,Illness,Nerves,Animals,Clouds,B,Neurology is the study of nerves.,Science,IMG_6514.jpg
371,What is Pathology the study of?,Animals,Illness,Kidneys,Clouds,B,Pathology is the study of illness.,Science,IMG_6514.jpg
372,What is Zoology the study of?,Illness,Animals,Nerves,Clouds,B,Zoology is the study of animals.,Science,IMG_6514.jpg
373,World Food Safety Day is celebrated on?,7th June,8th June,11th July,22nd April,A,World Food Safety Day is celebrated on 7th June.,General Knowledge,IMG_6514.jpg
374,What is the function of the shortcut key 'Ctrl + A'?,Copy selected text,Paste selected text,Select all contents of the page,Open a new document,C,'Ctrl + A' is used to select all the contents of the current page or document.,Computer,IMG_6542.jpg
375,Which shortcut key is used to bold highlighted text?,Ctrl + I,Ctrl + U,Ctrl + B,Ctrl + S,C,'Ctrl + B' is the shortcut key for bolding text.,Computer,IMG_6542.jpg
376,What action does the shortcut 'Ctrl + C' perform?,Cut selected text,Copy selected text,Paste selected text,Clear selected text,B,'Ctrl + C' is used to copy selected text.,Computer,IMG_6542.jpg
377,Which shortcut key is used to cut selected text?,Ctrl + X,Ctrl + C,Ctrl + V,Ctrl + Z,A,'Ctrl + X' is the shortcut key for cutting selected text.,Computer,IMG_6542.jpg
378,What is the function of the shortcut key 'Ctrl + V'?,Cut selected text,Copy selected text,Paste selected text,Save selected text,C,'Ctrl + V' is used to paste selected text.,Computer,IMG_6542.jpg
379,Which shortcut opens a new or blank document?,Ctrl + O,Ctrl + N,Ctrl + S,Ctrl + P,B,'Ctrl + N' opens a new or blank document.,Computer,IMG_6542.jpg
380,What does the shortcut 'Ctrl + O' do?,Open a file,Open options,Open the print window,Open the save dialog,B,'Ctrl + O' opens options.,Computer,IMG_6542.jpg
381,Which shortcut key is used to open the print window?,Ctrl + S,Ctrl + P,Ctrl + O,Ctrl + F,B,'Ctrl + P' opens the print window.,Computer,IMG_6542.jpg
382,What is the function of the shortcut key 'Ctrl + F'?,Find,Format,File,Font,A,'Ctrl + F' opens the find box.,Computer,IMG_6542.jpg
383,Which shortcut key is used to undo the last action?,Ctrl + Y,Ctrl + Z,Ctrl + X,Ctrl + A,B,'Ctrl + Z' is the shortcut key for undoing the last action.,Computer,IMG_6542.jpg
384,What does 'Alt + Esc' do?,Closes the current window,Switches between open applications,Switches between Desktop applications on the task bar,Opens the start menu,C,'Alt + Esc' switches between Desktop applications on the task bar.,Computer,IMG_6542.jpg
385,What is the function of 'Alt + Tab'?,Close the current program,Switch between open applications/programs,Open a new tab,Save the current file,B,'Alt + Tab' switches between open applications/programs.,Computer,IMG_6542.jpg
386,Which shortcut key is used to close the ongoing programs?,Alt + Esc,Ctrl + Esc,Alt + F4,Ctrl + F4,C,'Alt + F4' is used to close the ongoing programs.,Computer,IMG_6542.jpg
387,Which shortcut key is used to activate the start menu?,Alt + Tab,Ctrl + Esc,Alt + F4,Ctrl + Alt + Delete,B,'Ctrl + Esc' is used to activate the start menu.,Computer,IMG_6542.jpg
388,What type of organization does the '.org' domain name typically represent?,Commercial,Network,Education,Organization,D,The '.org' domain name is shorthand for 'organization'.,Computer,IMG_6542.jpg
389,Which domain name is typically used for commercial websites?,.net,.com,.org,.edu,B,The '.com' domain name is shorthand for 'commercial'.,Computer,IMG_6542.jpg
390,What does the domain name '.net' typically represent?,Education,Government,Network,Military,C,The '.net' domain name is shorthand for 'network'.,Computer,IMG_6542.jpg
391,Which domain name is used for educational institutions?,.com,.org,.edu,.gov,C,The '.edu' domain name is shorthand for 'education'.,Computer,IMG_6542.jpg
392,What type of organization uses the '.gov' domain name?,Military,Government,Commercial,Network,B,The '.gov' domain name is shorthand for 'government'.,Computer,IMG_6542.jpg
393,Which domain name is used for military websites?,.mil,.gov,.org,.com,A,The '.mil' domain name is shorthand for 'military'.,Computer,IMG_6542.jpg
394,Which bowler has taken the most wickets in Test cricket?,Shane Warne,Muttiah Muralitharan,Anil Kumble,James Anderson,B,Muttiah Muralitharan has taken the most wickets (800) in Test cricket.,Sports,IMG_6537.jpg
395,Who was the captain of the Indian team that won the 1983 Cricket World Cup?,Sunil Gavaskar,Kapil Dev,Sachin Tendulkar,Sourav Ganguly,B,Kapil Dev was the captain of the Indian team that won the 1983 Cricket World Cup.,Sports,IMG_6537.jpg
396,Who has hit the fastest century in ODI cricket?,Virat Kohli,AB de Villiers,Chris Gayle,Shahid Afridi,B,"AB de Villiers holds the record for the fastest century in ODI cricket, scoring it in 31 balls.",Sports,IMG_6537.jpg
397,Which country has won the most FIFA World Cups?,Germany,Italy,Brazil,Argentina,C,"Brazil has won the most FIFA World Cups, with a total of 5 titles.",Sports,IMG_6537.jpg
398,Who scored the famous 'Hand of God' goal?,Pele,Diego Maradona,Lionel Messi,Cristiano Ronaldo,B,Diego Maradona scored the famous 'Hand of God' goal.,Sports,IMG_6537.jpg
399,Which is the only country to have played in every FIFA World Cup?,Germany,Brazil,Italy,Argentina,B,Brazil is the only country to have played in every FIFA World Cup.,Sports,IMG_6537.jpg
400,Who won the Golden Ball award in the 2022 FIFA World Cup?,Kylian Mbappe,Neymar,Lionel Messi,Luka Modric,C,Lionel Messi won the Golden Ball award in the 2022 FIFA World Cup.,Sports,IMG_6537.jpg
401,Who was the first Indian woman to win an Olympic medal?,Sania Mirza,P.V. Sindhu,Karnam Malleswari,Mary Kom,C,Karnam Malleswari was the first Indian woman to win an Olympic medal in weightlifting in 2000.,Sports,IMG_6537.jpg
402,How many rings are there in the Olympic symbol?,3,4,5,6,C,"There are 5 rings in the Olympic symbol, representing the five continents.",Sports,IMG_6537.jpg
403,Who was the first Indian athlete to win a medal in track & field at the Olympics?,Milkha Singh,P.T. Usha,Neeraj Chopra,Anju Bobby George,C,"Neeraj Chopra won a gold medal in Javelin at the 2020 Tokyo Olympics, becoming the first Indian athlete to win a medal in track & field at the Olympics.",Sports,IMG_6537.jpg
404,Which country hosted the first-ever modern Olympic Games?,Italy,Greece,France,United States,B,Greece hosted the first-ever modern Olympic Games in Athens in 1896.,Sports,IMG_6537.jpg
405,Who was the first Indian woman to win a Grand Slam title?,Sania Mirza,Saina Nehwal,P.V. Sindhu,Mithali Raj,A,Sania Mirza was the first Indian woman to win a Grand Slam title.,Sports,IMG_6537.jpg
406,Which country has won the most gold medals in field hockey at the Olympics?,Australia,Germany,India,Netherlands,C,India has won the most gold medals (8) in field hockey at the Olympics.,Sports,IMG_6537.jpg
407,Who won the Golden Slam in tennis (all four Grand Slams + Olympic gold in a single year)?,Serena Williams,Steffi Graf,Roger Federer,Rafael Nadal,B,Steffi Graf won the Golden Slam in tennis in 1988.,Sports,IMG_6537.jpg
408,Which two players have the most Grand Slam finals meetings?,Roger Federer and Rafael Nadal,Rafael Nadal and Novak Djokovic,Pete Sampras and Andre Agassi,Bjorn Borg and John McEnroe,B,Rafael Nadal and Novak Djokovic have the most Grand Slam finals meetings.,Sports,IMG_6537.jpg
409,Who is the first Indian Formula 1 driver?,Michael Schumacher,Narain Karthikeyan,Lewis Hamilton,Sebastian Vettel,B,Narain Karthikeyan is the first Indian Formula 1 driver.,Sports,IMG_6537.jpg
410,Which sport is associated with the Davis Cup?,Cricket,Tennis,Golf,Badminton,B,The Davis Cup is associated with Tennis.,Sports,IMG_6537.jpg
411,Which Grand Slam is played on Plexi Cushion Hard Court?,French Open,Wimbledon,Australian Open,US Open,C,The Australian Open is played on Plexi Cushion Hard Court.,Sports,IMG_6537.jpg
412,What is the trophy name for the Australian Open?,Coupe des Mousquetaires,Venus Rosewater Dish,Norman Brookes Challenge Cup,US Open trophy,C,The trophy name for the Australian Open is Norman Brookes Challenge Cup.,Sports,IMG_6537.jpg
413,Which Grand Slam is played on Clay?,Australian Open,French Open,Wimbledon,US Open,B,The French Open is played on Clay.,Sports,IMG_6537.jpg
414,What is the trophy name for Wimbledon?,Coupe des Mousquetaires,Venus Rosewater Dish,Norman Brookes Challenge Cup,US Open trophy,B,The trophy name for Wimbledon is Venus Rosewater Dish.,Sports,IMG_6537.jpg
415,Which Grand Slam is played on Grass?,Australian Open,French Open,Wimbledon,US Open,C,Wimbledon is played on Grass.,Sports,IMG_6537.jpg
416,Which Grand Slam is played on Hard Court?,French Open,Wimbledon,Australian Open,US Open,D,The US Open is played on Hard Court.,Sports,IMG_6537.jpg
417,What is the trophy name for the French Open?,Coupe des Mousquetaires,Venus Rosewater Dish,Norman Brookes Challenge Cup,US Open trophy,A,The trophy name for the French Open is Coupe des Mousquetaires.,Sports,IMG_6537.jpg
418,What is the trophy name for the US Open?,Coupe des Mousquetaires,Venus Rosewater Dish,Norman Brookes Challenge Cup,US Open trophy,D,The trophy name for the US Open is US Open trophy.,Sports,IMG_6537.jpg
419,Which of the following best describes the Earth's mantle?,Made of liquid metal,Made of solid rock,Made of gas,Made of water,B,The Earth's mantle is made of solid rock.,Earth Science,IMG_6521.jpg
420,What is the temperature of the Earth's mantle?,Cold,Hot,Freezing,Icy,B,The Earth's mantle is hot.,Earth Science,IMG_6521.jpg
421,What is the Earth's core primarily made of?,Water,Dense metallic material,Solid rock,Gases,B,The Earth's core is made of a dense metallic material.,Earth Science,IMG_6521.jpg
422,What causes the magnetic field on Earth?,The mantle,The atmosphere,The metallic nature of the Earth's core,The oceans,C,The magnetic field is due to the metallic nature of the Earth's core.,Earth Science,IMG_6521.jpg
423,What are the two parts of the Earth's core?,Solid and liquid,Inner and outer,Solid inner core and liquid outer core,Crust and mantle,C,The Earth's core is composed of a solid inner core and a liquid outer core.,Earth Science,IMG_6521.jpg
424,Which of the following is NOT a broad category of natural vegetation?,Forests,Grasslands,Shrubs,Deserts,D,"Natural vegetation is generally classified into Forests, Grasslands, and Shrubs.",Geography,IMG_6521.jpg
425,Which of the following is a type of forest?,Savanna Grassland,Tropical Evergreen Forest,Hot Desert Vegetation,Cold Desert Vegetation,B,Tropical Evergreen Forests are a type of forest.,Geography,IMG_6521.jpg
426,Which of the following is a type of natural vegetation?,Tropical Evergreen Forests,Tropical Deciduous Forests,Temperate Evergreen Forests,All of the above,D,"Tropical Evergreen Forests, Tropical Deciduous Forests, and Temperate Evergreen Forests are all types of natural vegetation.",Geography,IMG_6521.jpg
427,What is a rock?,A type of mineral,A natural mass of minerals,A type of soil,A type of plant,B,A rock is a natural mass of minerals found within the earth's crust.,Earth Science,IMG_6521.jpg
428,What are the three main types of rocks based on their formation?,"Igneous, sedimentary, and metamorphic","Granite, limestone, and marble","Solid, liquid, and gas","Hot, cold, and warm",A,"Rocks can be classified into igneous, sedimentary, and metamorphic rocks.",Earth Science,IMG_6521.jpg
429,What is a mineral?,A type of rock,A substance with a definite chemical composition,A type of soil,A type of plant,B,Minerals are substances that have a definite chemical composition.,Earth Science,IMG_6521.jpg
430,Who is the current Prime Minister of India?,Amit Shah,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,B,Narendra Modi is the current Prime Minister of India.,Civics,IMG_6535.jpg
431,Who is the Minister of Defence?,Amit Shah,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,C,Rajnath Singh is the Minister of Defence.,Civics,IMG_6535.jpg
432,Who is the Minister of Home Affairs and Minister of Cooperation?,Amit Shah,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Amit Shah is the Minister of Home Affairs and Minister of Cooperation.,Civics,IMG_6535.jpg
433,Who is the Minister of Finance and Minister of Corporate Affairs?,Amit Shah,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,D,Nirmala Sitharaman is the Minister of Finance and Minister of Corporate Affairs.,Civics,IMG_6535.jpg
434,Who is the Minister of Road Transport and Highways?,Nitin Jairam Gadkari,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Nitin Jairam Gadkari is the Minister of Road Transport and Highways.,Civics,IMG_6535.jpg
435,Who is the Minister of Health and Family Welfare and Minister of Chemicals and Fertilizers?,Jagat Prakash Nadda,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Jagat Prakash Nadda is the Minister of Health and Family Welfare and Minister of Chemicals and Fertilizers.,Civics,IMG_6535.jpg
436,Who is the Minister of Agriculture & Farmers Welfare and Minister of Rural Development?,Shivraj Singh Chouhan,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Shivraj Singh Chouhan is the Minister of Agriculture & Farmers Welfare and Minister of Rural Development.,Civics,IMG_6535.jpg
437,Who is the Minister of External Affairs?,Subrahmanyam Jaishankar,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Subrahmanyam Jaishankar is the Minister of External Affairs.,Civics,IMG_6535.jpg
438,Who is the Minister of Housing and Urban Affairs and Minister of Power?,Manohar Lal,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Manohar Lal is the Minister of Housing and Urban Affairs and Minister of Power.,Civics,IMG_6535.jpg
439,Who is the Minister of Heavy Industries and Minister of Steel?,H. D. Kumaraswamy,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,H. D. Kumaraswamy is the Minister of Heavy Industries and Minister of Steel.,Civics,IMG_6535.jpg
440,Who is the Minister of Commerce and Industry?,Piyush Goyal,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Piyush Goyal is the Minister of Commerce and Industry.,Civics,IMG_6535.jpg
441,Who is the Minister of Education?,Dharmendra Pradhan,Narendra Modi,Rajnath Singh,Nirmala Sitharaman,A,Dharmendra Pradhan is the Minister of Education.,Civics,IMG_6535.jpg
442,What does the idiom 'An apple a day keeps the doctor away' mean?,Doctors don't like apples.,Eating an apple daily keeps you healthy.,Apples are expensive.,Doctors eat apples every day.,B,The idiom means that eating an apple daily helps maintain good health and prevents the need to see a doctor.,English,IMG_6494.jpg
443,What is the meaning of the idiom 'Better safe than sorry'?,It's better to apologize than to be safe.,It's better to take precautions than to regret later.,Safety is not important.,Being sorry is better than being safe.,B,The idiom means that it is wiser to be cautious and take precautions to avoid potential problems or regrets.,English,IMG_6494.jpg
444,What does the idiom 'Every cloud has a silver lining' mean?,Clouds are made of silver.,There is always a positive side to any difficult situation.,Clouds are always dark and gloomy.,Silver is found in clouds.,B,"The idiom means that even in the most difficult or unpleasant situations, there is always a positive aspect or hope for improvement.",English,IMG_6494.jpg
445,What are question tags?,Long questions at the beginning of a sentence.,Short questions at the end of a sentence.,Questions used in formal writing.,Questions that are always negative.,B,"Question tags are short questions that are added to the end of a statement, particularly in spoken English, to ask for confirmation or agreement.",English,IMG_6494.jpg
446,"If the main part of a sentence is positive, what kind of question tag is used?",Positive,Negative,Neutral,Interrogative,B,"When the main part of the sentence is positive, the question tag will be negative. For example: 'He is a doctor, isn't he?'",English,IMG_6494.jpg
447,"If the main part of a sentence is negative, what kind of question tag is used?",Positive,Negative,Neutral,Interrogative,A,"When the main part of the sentence is negative, the question tag will be positive. For example: 'You haven't met him, have you?'",English,IMG_6494.jpg
448,Which of the following sentences uses the correct question tag?,"She is happy, is she?","She is happy, isn't she?","She is not happy, isn't she?","She is not happy, is it?",B,"Since the main sentence 'She is happy' is positive, the question tag should be negative: 'isn't she?'",English,IMG_6494.jpg
449,Which of the following sentences uses the correct question tag?,"They took their notebooks, didn't they?","They didn't take their notebooks, didn't they?","They didn't take their notebooks, did they?","They took their notebooks, did they?",C,"Since the main sentence 'They didn't take their notebooks' is negative, the question tag should be positive: 'did they?'",English,IMG_6494.jpg
450,കേരള സംഗീത നാടക അക്കാദമിയുടെ മുഖപത്രം ഏതാണ്?,കേരള കർഷകൻ,വിജ്ഞാനകൈരളി,കേളി,തളിര്,C,കേരള സംഗീത നാടക അക്കാദമിയുടെ മുഖപത്രം കേളിയാണ്.,General Knowledge,IMG_6499.jpg
451,കേരള ഭാഷാ ഇൻസ്റ്റിറ്റ്യൂട്ടിന്റെ മുഖപത്രം ഏതാണ്?,കേരള കർഷകൻ,വിജ്ഞാനകൈരളി,കേളി,തളിര്,B,കേരള ഭാഷാ ഇൻസ്റ്റിറ്റ്യൂട്ടിന്റെ മുഖപത്രം വിജ്ഞാനകൈരളിയാണ്.,General Knowledge,IMG_6499.jpg
452,കേരള കാർഷിക സർവ്വകലാശാലയുടെ മുഖപത്രം ഏതാണ്?,കല്പധേനു,വിജ്ഞാനകൈരളി,കേളി,തളിര്,A,കേരള കാർഷിക സർവ്വകലാശാലയുടെ മുഖപത്രം കല്പധേനുവാണ്.,General Knowledge,IMG_6499.jpg
453,കേരള ഫോക്ലോർ അക്കാദമിയുടെ മുഖപത്രം ഏതാണ്?,പൊലി,വിജ്ഞാനകൈരളി,കേളി,തളിര്,A,കേരള ഫോക്ലോർ അക്കാദമിയുടെ മുഖപത്രം പൊലിയാണ്.,General Knowledge,IMG_6499.jpg
